State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls,Total charge
20.0,135,408,1.0,1.0,41,173.1,85,203.9,107,122.2,78,14.6,15,0,56.199999999999996
2.0,34,510,0.0,0.0,0,124.8,82,282.2,98,311.5,78,10.0,4,2,61.92999999999999
13.0,160,415,0.0,0.0,0,85.8,77,165.3,110,178.5,92,9.2,4,3,39.15
48.0,64,510,0.0,0.0,0,154.0,67,225.8,118,265.3,86,3.5,3,1,58.260000000000005
37.0,59,408,0.0,1.0,28,120.9,97,213.0,92,163.1,116,8.5,5,2,48.3
8.0,142,408,0.0,0.0,0,187.0,133,134.6,74,242.2,127,7.4,5,2,56.129999999999995
50.0,97,415,0.0,1.0,24,133.2,135,217.2,58,70.6,79,11.0,3,1,47.25
12.0,52,408,0.0,0.0,0,191.9,108,269.8,96,236.8,87,7.8,5,3,68.32
15.0,60,408,0.0,0.0,0,220.6,57,211.1,115,249.0,129,6.8,3,1,68.49000000000001
44.0,96,415,0.0,0.0,0,160.2,117,267.5,67,228.5,68,9.3,5,2,62.76
50.0,87,415,0.0,0.0,0,151.0,83,219.7,116,203.9,127,9.7,3,5,56.14
15.0,81,408,0.0,0.0,0,175.5,67,249.3,85,270.2,98,10.2,3,1,65.94
5.0,141,415,0.0,0.0,0,126.9,98,180.0,62,140.8,128,8.0,2,1,45.370000000000005
5.0,121,408,0.0,1.0,30,198.4,129,75.3,77,181.2,77,5.8,3,3,49.849999999999994
36.0,125,408,0.0,0.0,0,229.3,103,177.4,126,189.3,95,12.0,8,1,65.82
13.0,174,408,0.0,0.0,0,192.1,97,169.9,94,166.6,54,11.4,4,1,57.67999999999999
4.0,116,415,0.0,1.0,34,268.6,83,178.2,142,166.3,106,11.6,3,2,71.41999999999999
41.0,149,408,0.0,1.0,28,180.7,92,187.8,64,265.5,53,12.6,3,3,62.029999999999994
27.0,38,408,0.0,0.0,0,131.2,98,162.9,97,159.0,106,8.2,6,2,45.51
47.0,40,415,0.0,1.0,41,148.1,74,169.5,88,214.1,102,6.2,5,2,50.89000000000001
50.0,43,415,1.0,0.0,0,251.5,105,212.8,104,157.8,67,9.3,4,0,70.46
23.0,113,408,1.0,0.0,0,125.2,93,206.4,119,129.3,139,8.3,8,0,46.88
44.0,126,408,0.0,0.0,0,211.6,70,216.9,80,153.5,60,7.8,1,1,63.42999999999999
43.0,150,510,0.0,0.0,0,178.9,101,169.1,110,148.6,100,13.8,3,4,55.199999999999996
31.0,138,408,0.0,0.0,0,241.8,93,170.5,83,295.3,104,11.8,7,3,72.08
23.0,162,510,0.0,1.0,46,224.9,97,188.2,84,254.6,61,12.1,2,0,68.96
32.0,147,510,0.0,0.0,0,248.6,83,148.9,85,172.5,109,8.0,4,3,64.84
33.0,90,415,0.0,0.0,0,203.4,146,226.7,117,152.4,105,7.3,4,1,62.67999999999999
23.0,50,415,0.0,0.0,0,157.1,90,223.3,72,181.4,111,6.1,2,1,55.49999999999999
7.0,82,415,0.0,0.0,0,300.3,109,181.0,100,270.1,73,11.7,4,0,81.75
34.0,144,408,0.0,0.0,0,61.6,117,77.1,85,173.0,99,8.2,7,4,27.02
20.0,70,408,0.0,0.0,0,170.2,98,155.2,102,228.6,76,15.0,2,1,56.459999999999994
49.0,144,415,0.0,0.0,0,201.1,99,303.5,74,224.0,119,13.2,2,1,73.63
37.0,116,415,1.0,0.0,0,215.4,104,204.8,79,278.5,109,12.6,5,3,69.96000000000001
5.0,55,408,0.0,1.0,25,165.6,123,136.1,95,175.7,90,11.0,2,3,50.599999999999994
10.0,70,415,0.0,1.0,24,249.5,101,259.7,98,222.7,68,9.8,4,1,77.16000000000001
43.0,106,510,0.0,0.0,0,210.6,96,249.2,85,191.4,88,12.4,1,2,68.94
15.0,94,408,0.0,0.0,0,157.9,105,155.0,101,189.6,84,8.0,5,4,50.709999999999994
49.0,111,510,0.0,0.0,0,214.3,118,208.5,76,182.4,98,12.0,2,1,65.6
17.0,74,415,0.0,1.0,35,154.1,104,123.4,84,202.1,57,10.9,9,2,48.72
31.0,128,415,0.0,0.0,0,237.9,125,247.6,93,208.9,68,13.9,4,1,74.64
7.0,82,510,0.0,0.0,0,143.9,61,194.9,105,109.6,94,11.1,2,1,48.96
2.0,80,415,0.0,0.0,0,124.3,100,173.0,107,253.2,62,7.9,9,1,49.36000000000001
21.0,78,415,0.0,0.0,0,252.9,93,178.4,112,263.9,105,9.5,7,3,72.6
3.0,90,415,0.0,0.0,0,179.1,71,190.6,81,127.7,91,10.6,7,3,55.26
0.0,104,408,0.0,0.0,0,278.4,106,81.0,113,163.2,137,9.8,5,1,64.21000000000001
3.0,99,415,0.0,0.0,0,198.2,87,207.3,76,190.9,113,8.7,3,4,62.25000000000001
25.0,120,408,0.0,0.0,0,212.1,131,209.4,104,167.2,96,5.3,5,1,62.809999999999995
12.0,98,510,0.0,1.0,21,161.2,114,252.2,83,160.2,92,4.4,8,4,57.24
46.0,135,415,0.0,0.0,0,151.7,82,119.0,105,180.0,100,10.5,6,0,46.849999999999994
15.0,122,408,0.0,0.0,0,170.5,94,173.7,109,248.6,75,11.3,2,1,57.989999999999995
3.0,95,408,0.0,0.0,0,238.1,65,187.2,98,190.0,115,11.8,4,4,68.13
32.0,93,510,0.0,1.0,21,117.9,131,164.5,115,217.0,86,9.8,3,1,46.42999999999999
44.0,157,408,0.0,0.0,0,229.8,90,147.9,121,241.4,108,9.6,7,3,65.09
22.0,120,408,0.0,0.0,0,165.0,100,317.2,83,119.2,86,8.3,8,1,62.61000000000001
19.0,103,415,0.0,0.0,0,185.0,117,223.3,94,222.8,91,12.6,2,2,63.86
1.0,98,408,0.0,0.0,0,161.0,117,190.9,113,227.7,113,12.1,4,4,57.120000000000005
8.0,125,408,0.0,0.0,0,126.7,108,206.0,90,247.8,114,13.3,7,1,53.78999999999999
21.0,36,510,1.0,1.0,42,196.8,89,254.9,122,138.3,126,20.0,6,0,66.75
31.0,64,510,0.0,0.0,0,162.6,83,152.3,109,57.5,122,14.2,3,1,47.010000000000005
33.0,74,415,0.0,0.0,0,282.5,114,219.9,48,170.0,115,9.4,4,1,76.91000000000001
24.0,112,510,0.0,1.0,36,113.7,117,157.5,82,177.6,118,10.0,3,2,43.410000000000004
29.0,46,408,0.0,0.0,0,210.2,92,227.3,77,200.1,116,13.1,7,1,67.59
43.0,41,408,0.0,1.0,22,213.8,102,141.8,86,142.2,123,7.2,3,0,56.74
20.0,121,510,0.0,0.0,0,190.7,103,183.5,117,220.8,103,9.8,4,3,60.61
25.0,193,415,0.0,0.0,0,170.9,124,132.3,95,112.9,89,11.6,3,1,48.51
33.0,130,510,0.0,0.0,0,154.2,119,110.2,98,227.4,117,9.2,5,2,48.29
3.0,85,408,0.0,0.0,0,201.4,52,229.4,104,252.5,106,12.0,3,1,68.33999999999999
25.0,162,415,0.0,0.0,0,70.7,108,157.5,87,154.8,82,9.1,3,4,34.84
25.0,61,510,0.0,1.0,27,187.5,124,146.6,103,225.7,129,6.4,6,4,56.23
43.0,92,408,0.0,0.0,0,91.7,90,193.7,123,175.0,86,9.2,4,2,42.41
29.0,131,408,0.0,1.0,36,214.2,115,161.7,117,264.7,102,9.5,4,3,64.63
29.0,90,415,0.0,0.0,0,145.5,92,217.7,114,146.9,123,10.9,2,3,52.78999999999999
31.0,78,415,0.0,0.0,0,231.0,115,230.4,140,261.4,120,9.5,3,1,73.17999999999999
43.0,82,408,0.0,0.0,0,200.3,96,201.2,102,206.1,60,7.1,1,4,62.34
2.0,163,408,0.0,0.0,0,197.0,109,202.6,128,206.4,80,9.1,10,1,62.46
1.0,91,510,1.0,0.0,0,129.9,112,173.3,83,247.2,130,11.2,3,3,50.95
34.0,75,415,0.0,1.0,21,175.8,97,217.5,106,237.5,134,5.3,4,5,60.49999999999999
9.0,91,510,0.0,0.0,0,203.1,106,210.1,113,195.6,129,12.0,3,3,64.42999999999999
0.0,127,510,0.0,1.0,36,183.2,117,126.8,76,263.3,71,11.2,8,1,56.790000000000006
33.0,113,415,0.0,1.0,23,205.0,101,152.0,60,158.6,59,10.2,5,2,57.660000000000004
8.0,110,510,0.0,0.0,0,148.5,115,276.4,84,193.6,112,12.4,3,1,60.8
20.0,120,415,0.0,1.0,39,200.3,68,220.4,97,253.8,116,10.5,4,0,67.04
22.0,157,415,0.0,1.0,28,192.6,107,195.5,74,109.7,139,6.8,5,3,56.14
46.0,103,510,0.0,0.0,0,246.5,47,195.5,84,200.5,96,11.7,4,1,70.71
46.0,117,408,1.0,0.0,0,167.1,86,177.5,87,249.4,132,14.1,7,2,58.53
22.0,140,415,0.0,0.0,0,231.9,101,160.1,94,110.4,98,14.3,6,3,61.86
44.0,83,408,1.0,0.0,0,271.5,87,216.3,126,121.1,105,11.7,4,1,73.16
39.0,145,408,0.0,1.0,43,257.7,97,162.1,95,286.9,86,11.1,4,2,73.5
12.0,113,408,0.0,0.0,0,193.8,99,221.4,125,172.3,67,10.6,6,1,62.38
39.0,56,415,0.0,0.0,0,226.0,112,248.5,118,140.5,142,6.9,11,1,67.72000000000001
36.0,96,415,0.0,0.0,0,260.4,115,146.0,46,269.5,87,11.5,4,5,71.92
18.0,151,408,0.0,0.0,0,178.7,116,292.1,138,265.9,101,9.8,4,0,69.83
35.0,83,415,0.0,0.0,0,337.4,120,227.4,116,153.9,114,15.8,7,0,87.89
45.0,139,510,0.0,1.0,23,157.6,129,247.0,96,259.2,112,13.7,2,0,63.150000000000006
9.0,115,510,0.0,1.0,24,142.1,124,183.4,129,164.8,114,9.6,4,1,49.760000000000005
40.0,87,415,0.0,0.0,0,136.3,97,172.2,108,137.5,101,7.1,5,0,45.92
45.0,141,415,0.0,0.0,0,217.1,110,241.5,111,253.5,103,12.0,6,0,72.08999999999999
12.0,141,510,0.0,1.0,36,187.5,99,241.4,116,229.5,105,10.5,5,3,65.57
22.0,62,415,0.0,0.0,0,98.9,103,135.4,122,236.6,82,12.2,1,1,42.26
36.0,146,415,0.0,0.0,0,206.3,151,148.6,89,167.2,91,6.1,3,1,56.87
8.0,92,415,0.0,1.0,33,243.1,92,213.8,92,228.7,104,12.1,2,2,73.05999999999999
10.0,185,510,0.0,1.0,31,189.8,126,163.3,133,264.8,126,7.5,3,1,60.10000000000001
7.0,148,415,0.0,0.0,0,202.0,102,243.2,128,261.3,90,10.9,3,1,69.71000000000001
3.0,94,408,0.0,1.0,38,170.1,124,193.3,116,105.9,73,12.8,4,1,53.580000000000005
5.0,68,408,0.0,0.0,0,237.1,105,223.5,105,97.4,79,13.2,2,1,67.25
18.0,179,408,0.0,0.0,0,219.2,92,149.4,125,244.7,104,6.1,5,0,62.61999999999999
29.0,94,415,0.0,0.0,0,252.6,104,169.0,125,170.9,106,11.1,7,2,68.0
23.0,62,415,0.0,0.0,0,147.1,91,190.4,107,195.2,115,12.2,3,0,53.26
2.0,116,408,0.0,0.0,0,173.5,93,194.1,76,208.0,112,16.2,10,3,59.73
16.0,70,408,0.0,0.0,0,232.1,122,292.3,112,201.2,112,0.0,0,3,73.36
49.0,94,510,1.0,1.0,23,197.1,125,214.5,136,282.2,103,9.5,5,4,67.00999999999999
0.0,126,415,0.0,0.0,0,58.2,94,138.7,118,136.8,91,11.9,1,5,31.05
34.0,67,408,0.0,1.0,36,115.6,111,237.7,94,169.9,103,9.9,12,2,50.169999999999995
30.0,19,408,0.0,0.0,0,186.1,98,254.3,57,214.0,127,14.6,7,2,66.83000000000001
45.0,170,510,1.0,0.0,0,259.9,68,245.0,122,134.4,121,8.4,3,3,73.32999999999998
32.0,73,415,0.0,0.0,0,214.3,145,268.5,135,241.2,92,10.8,13,1,73.02
34.0,106,408,0.0,0.0,0,158.7,74,64.3,139,198.5,103,10.2,4,1,44.13
50.0,164,510,0.0,0.0,0,160.6,111,163.2,126,187.1,112,9.0,3,1,52.02
47.0,51,408,0.0,0.0,0,232.4,109,187.4,95,231.2,107,9.1,3,1,68.3
5.0,107,415,0.0,0.0,0,133.8,85,180.5,94,112.2,115,8.9,4,0,45.54
43.0,130,415,0.0,0.0,0,176.9,109,90.7,104,238.0,69,9.5,2,1,51.06
17.0,80,408,0.0,0.0,0,209.9,74,195.1,77,208.2,119,8.8,4,2,64.00999999999999
26.0,94,415,0.0,0.0,0,137.5,118,203.2,88,150.0,131,13.4,2,0,51.019999999999996
36.0,118,408,0.0,1.0,23,289.5,52,166.6,111,119.1,88,9.5,4,1,71.30999999999999
20.0,117,415,0.0,1.0,23,198.1,86,177.0,86,180.5,92,6.8,6,1,58.690000000000005
42.0,78,415,0.0,0.0,0,149.7,119,182.2,115,261.5,126,9.7,8,0,55.32999999999999
21.0,131,510,1.0,1.0,26,292.9,101,199.7,97,255.3,127,13.8,7,4,81.97999999999999
7.0,63,408,0.0,0.0,0,83.0,64,177.0,106,245.7,89,13.0,3,0,43.73
23.0,53,415,0.0,1.0,24,145.7,146,220.5,136,249.9,96,13.1,5,3,58.3
8.0,62,408,0.0,0.0,0,182.3,101,328.2,93,245.0,131,11.2,1,2,72.94
20.0,97,415,0.0,0.0,0,218.0,86,184.0,94,240.5,110,6.4,8,3,65.25
22.0,105,510,0.0,0.0,0,140.6,109,178.6,51,217.0,83,6.8,3,2,50.68
47.0,157,415,0.0,0.0,0,152.7,105,257.5,80,198.1,93,9.4,4,1,59.300000000000004
24.0,66,415,0.0,1.0,36,106.7,76,209.8,77,190.4,117,12.1,2,1,47.81
37.0,38,415,0.0,0.0,0,194.4,94,186.7,95,223.3,90,10.8,5,3,61.89
20.0,106,510,0.0,0.0,0,213.9,95,151.9,70,260.1,124,12.2,5,3,64.26
39.0,99,510,0.0,0.0,0,217.2,112,246.7,89,226.1,89,15.8,7,3,72.33
3.0,144,510,1.0,0.0,0,203.5,100,247.6,103,194.3,94,11.9,11,0,67.6
38.0,82,415,0.0,1.0,24,155.2,131,244.5,106,122.4,68,10.7,3,1,55.559999999999995
3.0,86,408,0.0,1.0,31,167.6,139,113.0,118,246.9,121,12.2,6,1,52.49999999999999
9.0,70,510,1.0,0.0,0,226.7,98,228.1,115,73.2,93,17.6,4,2,65.97
18.0,93,415,0.0,0.0,0,179.3,93,178.6,98,225.2,131,11.5,6,3,58.9
9.0,93,415,0.0,0.0,0,151.4,89,186.4,76,172.5,120,10.9,3,0,52.279999999999994
9.0,120,415,0.0,0.0,0,180.0,80,224.2,82,265.4,91,4.7,7,3,62.87
20.0,136,415,0.0,0.0,0,250.2,121,267.1,118,151.0,114,13.0,2,1,75.54
1.0,106,415,0.0,0.0,0,223.0,121,110.1,98,188.7,107,7.1,12,0,57.68
47.0,81,415,0.0,0.0,0,183.6,116,152.6,98,212.2,99,12.2,6,3,57.02
42.0,127,408,0.0,1.0,22,166.0,114,174.5,103,244.9,68,10.2,6,1,56.81999999999999
21.0,35,408,0.0,0.0,0,149.3,113,242.2,122,174.3,104,8.9,6,2,56.21
36.0,88,408,0.0,0.0,0,65.4,97,168.2,76,236.0,113,13.8,1,2,39.769999999999996
24.0,123,415,0.0,0.0,0,206.9,85,244.7,78,221.5,136,7.7,2,3,68.02
12.0,126,408,0.0,1.0,27,186.2,78,189.6,83,76.5,139,9.6,3,2,53.8
45.0,104,415,0.0,1.0,23,280.2,136,220.5,92,136.9,102,13.3,3,4,76.12
20.0,93,408,1.0,0.0,0,312.0,109,129.4,100,217.6,74,10.5,2,0,76.66999999999999
35.0,63,415,1.0,1.0,36,199.0,110,291.3,111,197.6,92,11.0,6,1,70.45
36.0,100,415,0.0,0.0,0,203.1,96,217.0,126,180.9,122,13.5,2,3,64.77000000000001
33.0,53,415,0.0,0.0,0,168.8,97,220.3,87,154.3,113,10.9,2,0,57.309999999999995
13.0,92,415,1.0,0.0,0,173.1,140,240.3,105,233.2,117,9.0,5,1,62.78
41.0,110,408,0.0,1.0,40,202.6,103,118.8,128,234.9,98,9.0,9,2,57.54
14.0,110,408,0.0,0.0,0,74.5,117,200.8,98,192.2,101,9.8,7,3,41.04
1.0,73,415,0.0,0.0,0,192.2,86,168.6,116,139.8,87,9.4,6,1,55.83
31.0,138,510,0.0,0.0,0,220.2,89,88.3,125,195.3,79,12.9,5,0,57.209999999999994
33.0,137,415,1.0,0.0,0,135.1,95,134.1,102,223.1,81,12.3,2,2,47.73
15.0,36,415,0.0,0.0,0,253.4,77,182.4,151,275.8,103,8.4,2,1,73.25999999999999
49.0,85,408,0.0,0.0,0,225.0,81,176.9,63,194.3,110,7.1,2,3,63.95
45.0,108,408,0.0,0.0,0,198.5,99,267.8,60,354.9,75,9.4,3,0,75.02000000000001
40.0,22,408,0.0,0.0,0,110.3,107,166.5,93,202.3,96,9.5,5,0,44.57
39.0,107,415,0.0,1.0,37,60.0,102,102.2,80,261.8,106,11.1,3,0,33.67
15.0,51,510,0.0,0.0,0,214.8,94,149.7,58,283.4,66,10.2,5,0,64.74000000000001
37.0,33,415,0.0,1.0,29,157.4,99,117.9,80,279.2,79,13.9,11,4,53.09
31.0,106,415,0.0,0.0,0,207.9,91,172.0,109,191.8,143,14.4,7,4,62.480000000000004
25.0,82,408,0.0,0.0,0,207.0,90,232.9,83,172.4,108,9.1,8,3,65.21
43.0,97,415,1.0,0.0,0,143.7,117,273.0,82,178.3,81,10.9,3,0,58.599999999999994
7.0,108,510,0.0,0.0,0,138.6,122,172.3,117,231.6,92,9.8,3,1,51.28
43.0,114,415,0.0,0.0,0,84.7,118,249.9,86,193.4,95,14.5,8,1,48.260000000000005
44.0,59,510,0.0,0.0,0,155.2,79,235.3,123,169.4,80,8.7,4,1,56.349999999999994
23.0,24,510,0.0,1.0,25,164.9,110,209.3,105,231.2,55,6.7,9,1,58.03
14.0,151,408,0.0,0.0,0,134.5,88,143.1,112,223.9,61,15.4,1,1,49.269999999999996
32.0,117,415,0.0,0.0,0,143.3,103,211.3,108,185.2,96,11.5,3,1,53.76
49.0,114,510,0.0,1.0,30,206.2,79,260.0,91,291.6,83,11.4,6,1,73.35
39.0,114,510,0.0,1.0,28,225.8,94,193.0,117,232.4,100,8.4,9,4,67.52999999999999
30.0,119,408,0.0,0.0,0,138.3,89,170.5,78,263.9,98,13.5,6,3,53.53
19.0,118,408,1.0,0.0,0,160.0,123,175.4,96,184.8,99,9.9,3,2,53.1
38.0,101,415,0.0,0.0,0,206.6,105,224.9,117,249.9,100,14.6,3,0,69.42999999999999
36.0,117,415,0.0,0.0,0,134.7,121,180.0,83,200.9,104,7.7,3,1,49.32
1.0,49,415,0.0,1.0,28,214.4,78,235.2,100,206.2,107,8.0,13,3,67.88
50.0,139,415,0.0,0.0,0,192.8,104,234.4,96,203.2,101,13.0,3,3,65.35000000000001
38.0,92,408,0.0,1.0,28,151.1,90,194.8,79,239.2,114,10.0,3,1,55.71
11.0,148,510,1.0,0.0,0,218.9,88,208.0,85,203.3,99,11.1,4,0,67.04
1.0,131,415,0.0,1.0,25,192.7,85,225.9,105,254.2,59,10.9,6,2,66.33999999999999
46.0,146,510,1.0,0.0,0,204.4,135,219.1,90,222.7,114,10.5,6,3,66.23
0.0,48,415,0.0,1.0,37,211.7,115,159.9,84,144.1,80,12.2,1,1,59.35
22.0,86,415,0.0,1.0,28,221.6,74,288.4,100,240.3,105,9.0,2,1,75.42000000000002
8.0,71,415,0.0,0.0,0,197.9,108,181.5,109,281.4,56,6.7,5,3,63.540000000000006
22.0,137,510,0.0,0.0,0,206.4,122,128.0,102,194.5,84,8.8,5,2,57.10000000000001
16.0,137,408,0.0,0.0,0,205.9,88,209.3,86,289.9,84,14.5,4,2,69.76
1.0,167,510,0.0,0.0,0,207.6,88,132.4,63,255.2,98,14.1,5,0,61.83
29.0,132,510,0.0,0.0,0,99.5,110,129.1,80,125.1,124,9.7,3,0,36.14
48.0,94,510,0.0,0.0,0,177.1,112,194.0,112,146.7,108,5.9,4,1,54.79
48.0,96,510,0.0,1.0,18,172.7,86,133.4,113,259.5,70,9.8,3,1,55.03
15.0,166,510,0.0,0.0,0,204.2,115,179.9,152,216.8,109,9.5,5,1,62.33
7.0,74,415,0.0,0.0,0,85.7,83,247.7,67,142.4,85,10.1,5,2,44.76
2.0,36,415,0.0,0.0,0,157.6,117,184.3,58,240.4,99,11.9,1,0,56.49
21.0,113,415,0.0,0.0,0,215.5,129,218.7,117,207.1,91,6.6,9,4,66.33000000000001
20.0,67,415,0.0,0.0,0,171.7,80,110.4,81,195.4,111,11.9,4,2,50.57
12.0,158,415,0.0,0.0,0,158.0,106,292.5,114,241.1,89,9.1,4,1,65.03
3.0,136,510,0.0,0.0,0,92.0,117,253.6,77,214.1,90,10.3,10,1,49.61000000000001
24.0,196,415,0.0,0.0,0,234.0,109,249.5,114,173.1,70,9.1,5,2,71.24
46.0,113,415,0.0,0.0,0,272.1,111,268.5,118,213.8,105,8.5,10,1,81.0
39.0,112,510,0.0,0.0,0,194.4,101,190.3,82,183.4,107,11.4,2,0,60.559999999999995
41.0,209,415,0.0,0.0,0,227.2,128,258.4,92,183.5,74,8.9,4,3,71.24000000000001
23.0,62,415,0.0,0.0,0,248.7,109,220.0,118,265.7,78,13.2,2,1,76.5
43.0,110,415,0.0,1.0,38,236.3,102,195.9,112,183.5,82,9.7,6,1,67.7
45.0,16,510,0.0,0.0,0,205.6,69,169.5,93,220.1,64,10.9,3,0,62.199999999999996
19.0,73,408,0.0,0.0,0,94.1,136,280.3,122,205.0,77,9.8,4,0,51.71
13.0,128,408,0.0,0.0,0,125.2,99,205.4,107,254.4,111,18.9,2,0,55.29
19.0,39,408,0.0,0.0,0,60.4,158,306.2,120,123.9,46,12.4,3,1,45.23
10.0,103,415,0.0,1.0,28,121.0,105,270.4,100,160.5,76,7.7,4,2,52.849999999999994
39.0,119,415,0.0,1.0,29,117.8,66,256.8,114,147.6,76,7.6,3,3,50.55
13.0,173,510,0.0,1.0,21,232.4,96,211.9,118,273.0,102,5.0,5,3,71.16
41.0,128,510,1.0,1.0,32,223.5,81,188.8,74,154.9,101,9.4,2,2,63.559999999999995
19.0,86,510,0.0,0.0,0,176.3,79,259.2,97,287.4,78,6.2,3,0,66.60000000000001
50.0,114,415,0.0,1.0,32,125.2,79,177.8,105,232.4,89,12.9,3,1,50.33
45.0,104,408,0.0,0.0,0,138.7,107,256.9,113,234.9,74,10.0,3,0,58.690000000000005
37.0,148,415,0.0,0.0,0,86.3,134,246.6,92,251.6,91,11.3,4,1,50.0
45.0,129,408,0.0,0.0,0,207.0,91,154.9,121,245.1,112,13.4,5,3,63.01
21.0,100,510,0.0,1.0,30,58.8,104,219.5,107,152.3,118,7.1,3,0,37.43
10.0,143,408,0.0,1.0,33,239.2,109,235.5,112,156.3,95,9.5,4,1,70.27999999999999
12.0,76,510,0.0,0.0,0,198.3,130,217.1,86,188.4,96,12.5,3,0,64.02
3.0,158,510,0.0,0.0,0,205.2,97,240.6,77,79.7,108,14.4,12,0,62.81
9.0,116,510,0.0,0.0,0,192.1,98,312.9,135,130.2,94,7.9,2,3,67.25
26.0,54,415,0.0,0.0,0,272.6,83,248.7,74,197.4,111,9.5,2,1,78.92999999999999
1.0,86,415,0.0,0.0,0,128.3,121,197.1,93,138.4,152,12.2,5,7,48.080000000000005
8.0,108,510,0.0,0.0,0,169.6,99,264.1,87,206.3,78,9.3,4,0,63.07
26.0,66,510,0.0,0.0,0,201.3,95,152.8,66,233.2,101,7.5,4,1,59.730000000000004
17.0,151,408,0.0,1.0,17,214.7,97,138.5,90,169.1,44,8.6,4,1,58.199999999999996
40.0,99,510,0.0,0.0,0,169.2,70,271.5,77,170.2,104,10.6,2,0,62.36
47.0,55,415,0.0,0.0,0,194.1,121,176.6,110,302.8,136,7.0,7,2,63.53
0.0,78,408,0.0,0.0,0,225.1,67,199.2,127,175.5,102,14.6,2,0,67.04
10.0,89,415,0.0,0.0,0,213.0,63,176.6,71,262.6,126,9.1,1,1,65.5
23.0,101,415,0.0,0.0,0,183.9,115,255.9,101,275.0,145,10.8,11,1,68.31
14.0,44,415,0.0,1.0,34,221.8,105,161.7,85,227.7,62,14.0,7,0,65.48
